plate	sample_fp	well	cycle	channel
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c5/20220706_145812_779/WellB2_ChannelCY3_30p_Seq0004.nd2	B2	5	CY3_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c5/20220706_145812_779/WellB2_ChannelCY5_30p_Seq0016.nd2	B2	5	CY5_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c5/20220706_145812_779/WellB2_ChannelCY7_30p_Seq0022.nd2	B2	5	CY7_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c6/20220706_182722_626/WellB2_ChannelA594_30p_Seq0010.nd2	B2	6	A594_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c6/20220706_182722_626/WellB2_ChannelCY3_30p_Seq0004.nd2	B2	6	CY3_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c6/20220706_182722_626/WellB2_ChannelCY5_30p_Seq0016.nd2	B2	6	CY5_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c6/20220706_182722_626/WellB2_ChannelCY7_30p_Seq0022.nd2	B2	6	CY7_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c7/20220707_104229_634/WellB2_ChannelA594_30p_Seq0010.nd2	B2	7	A594_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c7/20220707_104229_634/WellB2_ChannelCY3_30p_Seq0004.nd2	B2	7	CY3_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c7/20220707_104229_634/WellB2_ChannelCY5_30p_Seq0016.nd2	B2	7	CY5_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c7/20220707_104229_634/WellB2_ChannelCY7_30p_Seq0022.nd2	B2	7	CY7_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c8/20220707_154150_665/WellB2_ChannelA594_30p_Seq0010.nd2	B2	8	A594_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c8/20220707_154150_665/WellB2_ChannelCY3_30p_Seq0004.nd2	B2	8	CY3_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c8/20220707_154150_665/WellB2_ChannelCY5_30p_Seq0016.nd2	B2	8	CY5_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c8/20220707_154150_665/WellB2_ChannelCY7_30p_Seq0022.nd2	B2	8	CY7_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c9/20220708_100518_448/WellB2_ChannelA594_30p_Seq0010.nd2	B2	9	A594_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c9/20220708_100518_448/WellB2_ChannelCY3_30p_Seq0004.nd2	B2	9	CY3_30p
